record_id,val_t1,val_t2,val_t3,val_t4,val_t5,,
00161,6.9,3.8,3.0,3.0,2.0,,
00728,1.4,1.5,2.2,2.3,2.2,,
00787,18.8,13.4,11.4,13.5,9.7,,
00155,17.3,14.7,13.1,12.5,17.9,,
00101,16.9,16.9,18.7,22.8,27.8,,
00403,11.4,6.1,4.4,3.8,4.3,,
00633,5.5,6.3,6.0,3.6,2.8,,
00705,11.5,11.2,12.2,15.2,21.1,,
00976,13.1,15.8,8.4,10.9,14.9,,
00490,12.5,7.9,10.7,9.0,11.8,,
00568,11.4,7.9,5.5,6.2,5.9,,
00950,19.5,28.0,22.7,22.5,28.3,,
00666,19.6,27.2,31.0,27.9,19.8,,
00218,7.7,8.9,10.3,14.3,9.6,,
00271,12.2,7.9,10.3,14.6,14.0,,
00623,2.0,1.3,1.6,1.2,1.4,,
00620,20.0,12.6,14.6,13.2,13.2,,
00257,0.2,0.2,0.2,0.3,0.2,,
00299,8.8,12.5,13.4,14.3,18.5,,
00459,17.9,12.4,10.0,7.8,11.0,,
00945,11.1,10.1,13.8,8.3,8.0,,
00820,16.5,24.0,21.2,29.0,28.4,,
00198,15.4,22.4,29.1,37.5,40.9,,
00434,3.0,1.7,2.1,2.1,2.6,,
00613,14.5,11.1,10.7,11.5,10.4,,
00959,8.6,11.5,13.2,17.2,10.3,,
00576,6.5,7.0,6.2,3.9,5.4,,
00859,3.8,4.3,5.2,7.5,10.4,,
00202,2.0,1.0,0.6,0.4,0.6,,
00051,13.5,11.2,16.1,8.0,5.9,,
00091,12.7,6.8,3.6,3.3,4.1,,
00555,4.8,4.4,4.4,2.6,2.8,,
00395,8.6,9.4,8.7,6.2,3.5,,
00752,8.8,4.5,6.1,4.4,6.2,,
00643,13.5,18.3,23.4,11.9,6.1,,
00255,5.8,5.9,4.8,3.8,2.5,,
00498,1.7,2.0,2.8,3.3,1.7,,
00290,11.5,16.4,17.2,9.3,7.0,,
00314,7.9,11.3,12.3,14.4,15.3,,
00376,16.3,22.3,19.2,18.8,28.2,,
00258,1.6,1.2,1.5,1.9,2.9,,
00446,12.6,7.9,4.2,6.2,4.0,,
00993,12.2,17.4,12.5,16.7,16.0,,
00896,9.8,12.2,14.3,20.9,15.3,,
00961,1.2,1.7,2.3,1.6,1.7,,
00854,4.5,3.1,1.8,2.2,2.9,,
00440,6.0,3.9,4.8,6.1,7.9,,
00274,17.7,9.5,5.6,3.9,4.0,,
00917,11.2,7.3,4.9,5.3,7.3,,
00627,10.8,12.4,7.0,5.5,3.8,,
00723,2.2,2.4,3.4,5.1,4.5,,
00358,11.9,15.3,13.2,15.1,18.5,,
00991,5.1,4.9,3.5,3.9,5.0,,
